2023-07-20 11:24:45 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='N8F2F83EeFd7XLVeCMT4mhFiUgzSys3x5kWDpnmBKs9T', accountType=META_DATA, tokens=553, callbackTimeMs=9800, data=Data{img='https://arweave.net/PmRjXDmfRmHhAkkdEzBH1M2M2USBcRtr3CRdLRkj8HeL', expiry=null, currentBid=null, mintId='null'}, version=5} ***
2023-07-20 11:24:45 INFO  ProcessAccountRunnable:28 - processAccountType() - Account U5kG5d2y4MJJEAxzzx8dCCLWJzzNs47eSo4Uo43eQVRg
2023-07-20 11:24:45 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 5400 milliseconds
2023-07-20 11:24:45 INFO  ProcessAccountRunnable:53 - Account ZBTDeX9WPfT8P2KJ4mWhMXZccQPfpjuuq8DvEqQS7sB3, version: 1 has been ingested
2023-07-20 11:24:45 INFO  DynamicLoadDriver:49 - Going to handle account N8F2F83EeFd7XLVeCMT4mhFiUgzSys3x5kWDpnmBKs9T
2023-07-20 11:24:45 INFO  AccountIndexerProcessor:87 - Account (id=N8F2F83EeFd7XLVeCMT4mhFiUgzSys3x5kWDpnmBKs9T, 5) has been indexed
2023-07-20 11:24:45 INFO  ProcessAccountRunnable:28 - processAccountType() - Account N8F2F83EeFd7XLVeCMT4mhFiUgzSys3x5kWDpnmBKs9T
2023-07-20 11:24:45 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='kbtvQBErkxRFePFB42p9V2fxRJc49LDuLDVGuc2zNfUF', accountType=AUCTION, tokens=679, callbackTimeMs=1500, data=Data{img='null', expiry=-1, currentBid=335, mintId='null'}, version=1} ***
2023-07-20 11:24:45 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 9800 milliseconds
2023-07-20 11:24:45 INFO  ProcessAccountRunnable:53 - Account 6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz, version: 5 has been ingested
2023-07-20 11:24:46 INFO  DynamicLoadDriver:49 - Going to handle account kbtvQBErkxRFePFB42p9V2fxRJc49LDuLDVGuc2zNfUF
2023-07-20 11:24:46 INFO  AccountIndexerProcessor:87 - Account (id=kbtvQBErkxRFePFB42p9V2fxRJc49LDuLDVGuc2zNfUF, 1) has been indexed
2023-07-20 11:24:46 INFO  ProcessAccountRunnable:28 - processAccountType() - Account kbtvQBErkxRFePFB42p9V2fxRJc49LDuLDVGuc2zNfUF
2023-07-20 11:24:46 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m', accountType=AUCTION_DATA, tokens=895, callbackTimeMs=4500, data=Data{img='null', expiry=-1, currentBid=74, mintId='null'}, version=1} ***
2023-07-20 11:24:46 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 1500 milliseconds
2023-07-20 11:24:47 INFO  DynamicLoadDriver:49 - Going to handle account cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m
2023-07-20 11:24:47 INFO  AccountIndexerProcessor:87 - Account (id=cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m, 1) has been indexed
2023-07-20 11:24:47 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n', accountType=ACCOUNT, tokens=583, callbackTimeMs=2300, data=Data{img='null', expiry=null, currentBid=null, mintId='null'}, version=5} ***
2023-07-20 11:24:47 INFO  ProcessAccountRunnable:28 - processAccountType() - Account cYcekbx6u4odny8L2ywkfc8R4wmGH7bX1GzNw7RagP6m
2023-07-20 11:24:47 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 4500 milliseconds
2023-07-20 11:24:47 INFO  ProcessAccountRunnable:53 - Account kbtvQBErkxRFePFB42p9V2fxRJc49LDuLDVGuc2zNfUF, version: 1 has been ingested
2023-07-20 11:24:48 INFO  DynamicLoadDriver:49 - Going to handle account gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n
2023-07-20 11:24:48 INFO  AccountIndexerProcessor:87 - Account (id=gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n, 5) has been indexed
2023-07-20 11:24:48 INFO  ProcessAccountRunnable:28 - processAccountType() - Account gkDF8QaRcyLCm4A6tsmHiQvqUZ7NqsvpXiZ8K8RQof9n
2023-07-20 11:24:48 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 2300 milliseconds
2023-07-20 11:24:48 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3', accountType=ESCROW, tokens=436, callbackTimeMs=8100, data=Data{img='null', expiry=null, currentBid=null, mintId='null'}, version=1} ***
2023-07-20 11:24:49 INFO  DynamicLoadDriver:49 - Going to handle account A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3
2023-07-20 11:24:49 INFO  AccountIndexerProcessor:87 - Account (id=A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3, 1) has been indexed
2023-07-20 11:24:49 INFO  DynamicLoadDriver:33 - *** Handling Account Account{id='6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz', accountType=MINT, tokens=257, callbackTimeMs=8400, data=Data{img='null', expiry=null, currentBid=null, mintId='6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz'}, version=7} ***
2023-07-20 11:24:49 INFO  ProcessAccountRunnable:28 - processAccountType() - Account A72KnHfakikuhTGrbMg7dth9c9Sxjs3hypodQVDPNMR3
2023-07-20 11:24:49 INFO  ProcessAccountRunnable:43 - Scheduling the callback timer for 8100 milliseconds
2023-07-20 11:24:49 INFO  DynamicLoadDriver:49 - Going to handle account 6BhkGCMVMyrjEEkrASJcLxfAvoW43g6BubxjpeUyZFoz
